id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
8247,Vernon,Davis,WAS,TE,34,12,TE,robust,2.914,33,0.4355000000000002,0.6523440000000003,2.2887500000000003,9.742500000000001,4,33.9,4.3,4.137798592917949
8247,Vernon,Davis,WAS,TE,34,12,TE,weighted,2.717940821867378,36,0.46499858497077895,0.5463183059387448,2.2550000000000003,3.2700000000000005,4,33.9,4.3,4.137798592917949
8252,Jay,Cutler,FA,QB,35,12,QB,average,10.760000000000002,37,1.4841300000000004,NA,10.760000000000002,10.760000000000002,8,NA,NA,NaN
8252,Jay,Cutler,FA,QB,35,12,QB,robust,10.760000000000002,37,1.4750000000000014,0,10.760000000000002,10.760000000000002,8,NA,NA,3.418675424314606
8252,Jay,Cutler,FA,QB,35,12,QB,weighted,NA,NA,NA,NaN,10.760000000000002,10.760000000000002,8,NA,NA,NaN
8268,DeAngelo,Williams,FA,RB,35,12,RB,average,6.5,55,0.06414999999999971,NA,6.5,6.5,11,NA,NA,NaN
8268,DeAngelo,Williams,FA,RB,35,12,RB,robust,6.5,55,0.10175000000000001,0,6.5,6.5,11,NA,NA,NaN
8268,DeAngelo,Williams,FA,RB,35,12,RB,weighted,NA,NA,NA,NaN,6.5,6.5,11,NA,NA,NaN
8269,Marcedes,Lewis,GBP,TE,34,12,TE,average,0.7291666666666666,74,0.04661666666666664,0.4964112878114948,0.1325,1.2462500000000003,10,59.8,6.5,5.296842008745726
8269,Marcedes,Lewis,GBP,TE,34,12,TE,robust,0.7710000000000001,71,0.06075000000000008,0.5596815,0.1325,1.2462500000000003,10,59.8,6.5,5.296842008745726
8269,Marcedes,Lewis,GBP,TE,34,12,TE,weighted,0.9441604850213979,66,0.048339514978602005,0.46778561666690077,0.22999999999999998,1.2623212500000003,10,59.8,6.5,5.296842008745726
8360,Brandon,Marshall,SEA,WR,34,12,WR,average,8.5415,18,0.038699999999998624,3.4256721238320518,6.002750000000001,13.649999999999999,7,55.1,12.2,7.073844386152778
8360,Brandon,Marshall,SEA,WR,34,12,WR,robust,7.857,27,0.1459999999999999,1.4373807000000005,6.002750000000001,13.649999999999999,7,55.1,12.2,7.073844386152778
8360,Brandon,Marshall,SEA,WR,34,12,WR,weighted,7.355221825962909,33,0.10163372601352805,1.4760488170333432,5.79,8.937273255813954,7,55.1,12.2,7.073844386152778
